timestamp,netid,ruid,section,role,major,data_structures,calculus_and_linear_algebra,probability_and_statistics,data_visualization,python_libraries,shell_scripting,sql,python_scripting,jupyter_notebook,regression,programming_languages,algorithms,complexity_measures,visualization_tools,massive_data_processing
2025-09-04 01:21:03 +0300,d2dbd3d0d5,786a2021217c6e2022,01,Junior,Computer Science,28,20,41,28,20,5,5,0,5,12,22,20,4,14,9
2025-09-04 00:28:39 +0200,c7dd9ac7c494,60703e393965793e3d,01,Junior,Computer Science,7,11,15,11,8,0,5,1,,0,15,9,4,1,2
2025-09-03 18:22:47 -0400,5d504543461b,0f1d55565609195250,01,Senior,Mathematics,22,15,22,22,9,,5,0,0,4,15,,,9,1
2025-09-04 06:29:53 +0800,021b4e0503,5145080b0b52450c0a,03,Senior,Computer Science,29,19,55,28,16,1,5,5,1,,27,32,10,,8
2025-09-03 16:31:34 -0600,8b8cc28089de,5d4c0104045b490005,01,Junior,Computer Science,25,14,43,23,4,1,5,1,1,12,13,7,0,6,0
2025-09-04 05:19:22 +0700,ecfbbee9ea,b6a5e7efefb1a6e6eb,03,Sophomore,Computer Science,19,13,8,0,8,1,0,0,0,1,21,9,0,2,0
2025-09-03 20:16:56 -0200,c4c796d4d7,4b591712124d521717,01,Sophomore,Computer Science,22,15,40,18,,0,5,,1,7,14,16,3,0,0
2025-09-03 19:14:12 -0300,67772b7b7b,6e7c363737657c3737,01,Senior,Computer Science,28,15,39,21,16,0,0,5,5,6,16,15,6,4,6
2025-09-04 08:55:15 +1030,203e2a2928,2e3a7e777729377070,03,Senior,Mathematics,,15,,16,4,0,5,5,5,3,,2,0,0,0
2025-09-04 01:08:02 +0300,9897818581,bcade7e5e5b9afe1e4,04,Senior,Computer Science,32,15,60,25,3,1,5,1,5,9,27,10,0,1,5
2025-09-03 12:39:05 -1000,54490a53500a,fceeaca5a5fbeea3ac,03,Senior,Computer Science,35,15,44,35,16,5,5,5,5,15,22,26,10,14,6
2025-09-04 00:34:11 +0200,1d38202e27,14074b4d4d1e004b4f,02,Junior,Computer Science,21,15,30,13,6,1,1,0,1,3,13,21,2,3,1
2025-09-04 01:35:05 +0300,5c7e2c66,f6e5a7afaff7e2aba7,04,Senior,Computer Science,19,15,25,17,2,,5,1,1,0,14,11,3,3,0
2025-09-03 23:38:31 +0100,4d4c05454418,a8baf3f1f1abb1f5f9,01,Junior,Computer Science,28,18,13,24,0,1,1,0,5,0,12,8,0,0,
2025-09-03 13:29:53 -0900,f3edfaf9faa5,b8a9e2e1e1baaee7e4,01,Sophomore,Computer Science,24,20,43,35,20,0,5,5,5,9,25,22,9,22,8
2025-09-04 09:38:50 +1100,697760696d,7f6d252626786c2f25,04,Junior,Computer Science,30,18,47,31,15,0,0,0,0,0,0,0,0,0,0
2025-09-03 19:32:22 -0300,c0c5d9dfd886,0310585a5a03125e5b,03,Senior,Computer Science,24,15,30,27,4,1,0,5,5,3,16,16,7,7,4
2025-09-03 18:38:56 -0400,c1c7c4cbc8,a7b6f8fefea1b2fcf7,04,Senior,Computer Science,10,7,13,10,0,1,5,1,1,0,6,5,4,0,0
2025-09-03 22:19:33 +0000,e9e5a9e8e8,06145b5f5f011f5c5f,04,Senior,Computer Science,25,17,39,22,13,1,5,5,5,9,18,21,6,7,3
2025-09-03 16:08:20 -0600,6c656d6e683e,9d8cc7c4c49f8bc7c2,02,Senior,Computer Science,23,13,40,26,10,1,0,1,5,12,19,7,1,8,3
2025-09-04 04:20:41 +0600,f9e1fefbff,7766292e2e7161292d,01,Junior,Computer Science,35,15,49,35,20,1,0,5,5,13,22,22,5,15,5
2025-09-03 22:30:09 +0000,3837202523,5e4c0007075b4c0101,03,Junior,Computer Science,26,10,33,19,8,5,5,0,5,4,25,9,2,7,3
2025-09-03 18:06:41 -0400,d3ca9bdadc85,f5e7a8acacf3ecaeaa,03,Senior,Computer Science,29,16,34,13,2,1,1,0,1,1,19,11,6,0,0
2025-09-03 22:11:09 +0000,5a4d06585f,beade7e7e7bbaae2e1,01,Senior,Computer Science,12,12,8,11,7,1,0,5,5,1,16,5,2,3,1
2025-09-03 23:31:04 +0100,70686a6263,8191d8d8d88b94ddd1,04,Junior,Others,28,16,43,32,12,0,5,0,5,7,,35,7,14,12
2025-09-04 06:13:19 +0800,3a3a70333268,59480400005d410103,01,Senior,Computer Science,28,14,31,28,13,1,5,1,1,3,16,12,0,1,0
2025-09-04 04:35:08 +0600,f0c08cd0d58b,fceca6a5a5f8e4a3a6,01,Senior,Computer Science,6,7,12,11,0,1,1,1,1,0,7,4,2,0,0
2025-09-03 17:08:47 -0500,f9c881d7d0,68793131316e7b3038,03,Senior,Computer Science,19,25,50,30,5,1,5,0,1,4,,13,7,0,0
2025-09-04 08:20:51 +1000,031748080b57,cddc909494c7de9c9d,01,Junior,Computer Science,15,10,26,21,0,1,1,1,1,,19,0,0,0,0
